,job_sub_time,job_id,int_num,req_cpu_core,req_mem_GB,req_gpu,req_bit_per_sec,int_runtime_sec
126,20459.0,5c6361acd7588942d5900988_PyTorchWorker,1.0,32.0,97.65625,1.0,153288897.75904623,559.0
127,20530.0,f5d0327d7dc1a21d58dd2ff8_evaluator,1.0,6.0,29.296875,0.25,26426925.49523112,45621.0
128,20531.0,71131672ea0615eb8438733f_worker,10.0,6.0,19.0,0.25,20328621.297216214,52935.1
129,20532.0,dba58694a74abad331849625_worker,10.0,6.0,19.0,0.25,13022868.495890396,46590.0
130,20533.0,8f73d3ac7e0d6c6f7573e50d_evaluator,1.0,6.0,29.296875,0.25,21867583.89947748,54683.0
131,20533.0,8f73d3ac7e0d6c6f7573e50d_worker,10.0,6.0,19.0,0.25,15690163.981404848,49916.4
132,20534.0,06432a67f0a4a44d4fe385cf_worker,10.0,6.0,19.0,0.25,26662932.4471742,36253.6
133,20846.0,0845a7544dbf4c8a95168065_tensorflow,1.0,6.0,29.296875,1.0,15967845.300429486,83.0
134,20853.0,3cbb0bd320f898f1b713bc25_tensorflow,1.0,6.0,29.296875,0.25,31110738.865864377,394.0
135,20863.0,5824872e0063299f648cbd2b_tensorflow,1.0,6.0,29.296875,1.0,40225930.87135371,84.0
136,20869.0,707d542a95c701ab6b944ff3_worker,36.0,6.0,29.296875,0.25,19665000.07231434,72.22222222222223
137,21049.0,e6a543f62bdd76c48cac5c87_worker,20.0,6.0,19.53125,0.25,14555783.426789138,321.65
138,21061.0,9f9bd22b90f856cbbc689aed_xComputeWorker,1.0,10.0,19.55078125,0.5,46714161.31816996,396.0
139,21603.0,6ec8847652d7fe0e8ce9f783_worker,10.0,5.0,19.53125,0.25,13870664.469571428,4199.4
140,21772.0,49099800b3e1ab596f52e494_tensorflow,1.0,6.0,29.296875,1.0,67672788.05558254,55.0
141,22035.0,61f055914f6bae87e558e4cb_worker,20.0,8.0,15.625,1.0,23276603.43657113,115.1
142,22151.0,a11568beade9de557967c899_worker,10.0,5.0,19.53125,0.5,18482655.453808043,779.0
143,22249.0,4017f0f5df65485c2e7717d6_tensorflow,1.0,6.0,29.296875,1.0,25855458.96830614,22.0
144,22553.0,90086d3d9f532067348d195f_ps,1.0,6.0,29.296875,1.0,40725812.88273109,40.0
145,22609.0,8336214bf1d5b60f2916f5f9_tensorflow,1.0,6.0,29.296875,1.0,33331726.798494663,23.0
146,22612.0,369915046c8b2e2d95d9bbb5_worker,2.0,6.0,29.296875,1.0,22948424.970335744,97.5
147,22618.0,1bcbd28677f4b38037be757c_worker,1.0,6.0,29.296875,1.0,22173976.06721197,43.0
148,22760.0,9d0f4e586573cef3128c39d1_xComputeWorker,1.0,10.0,19.55078125,0.5,46930502.508348815,378.0
149,22764.0,b227e521f37f47b3c0e7dc71_worker,30.0,6.0,29.296875,0.5,78036282.63265225,1122.1333333333334
150,22773.0,fbc495d1e2d576273e334f67_tensorflow,1.0,6.0,29.296875,1.0,9165683.36163201,60.0
151,22854.0,069e4442185b07129d27793c_tensorflow,1.0,6.0,29.296875,0.5,15699027.609651633,12310.0
152,22873.0,2ebb17ffc542905ef90cc20b_worker,30.0,1.0,19.53125,0.5,10097190.740678312,30510.93333333333
153,23046.0,b290b8011a4b875934a9a39a_tensorflow,1.0,6.0,29.296875,1.0,20717302.74524347,28.0
154,23052.0,5a81f98ad85fc1a2b6f4f62a_worker,1.0,6.0,29.296875,1.0,16166764.782910077,21.0
155,23075.0,1dfcca7208596277ae777927_tensorflow,1.0,6.0,29.296875,0.5,26401708.355196837,12390.0
156,23125.0,3079ac422854e55dbdb53b1e_tensorflow,1.0,6.0,29.296875,0.5,20585191.776568636,13100.0
157,23144.0,d3c01d7819ffd80f0828b13d_ps,1.0,6.0,29.296875,1.0,44330856.31071071,53.0
158,23175.0,4fb42c5ad9246f0fb01e151b_tensorflow,1.0,6.0,29.296875,1.0,21335686.454207662,21.0
159,23204.0,ac2c7a277dca01c42c3525f1_PyTorchWorker,1.0,18.0,58.59375,1.0,62750894.29830182,14.0
160,23293.0,f5bcfc7b0ca083fb20fef32e_tensorflow,1.0,6.0,29.296875,1.0,14122482.183534157,53.0
161,23568.0,418c3b5a171a269edc33f000_worker,1.0,6.0,29.296875,1.0,26679013.31486337,21.0
162,23621.0,d97241f0996202f6e80ea3e1_worker,2.0,6.0,29.296875,0.05,12858304.886477312,26.5
163,23687.0,5240ca91c08b56f59735b23b_evaluator,1.0,6.0,29.296875,0.25,37237926.58447479,922.0
164,23740.0,900cf2a064c2a7b23294ebee_tensorflow,1.0,6.0,29.296875,2.0,8983915.809139416,182.0
165,24074.0,9b220714a8fcbe03dfd19950_xComputeWorker,1.0,10.0,19.55078125,0.5,19451663.730316084,446.0
166,24176.0,3a3f624069c56c87cdefc268_tensorflow,1.0,6.0,29.296875,0.5,16585646.13290072,236.0
167,24206.0,89269c284eb6fcd8edaf2420_worker,1.0,6.0,29.296875,1.0,18309443.97005076,21.0
168,24282.0,db9913e380219e9daa9400cb_tensorflow,1.0,6.0,29.296875,0.25,16939505.424434844,434.0
169,24500.0,5dd40f38261ea94c70cbc041_xComputeWorker,1.0,10.0,19.55078125,0.5,20630166.35893784,398.0
170,24533.0,dc5004b35ad3e86b8454c0d6_tensorflow,1.0,6.0,29.296875,1.0,14476447.871190902,42.0
171,24662.0,3da0c9f3cecac1a79ba85590_worker,1.0,6.0,2.9296875,1.0,34594124.99335361,43.0
172,24852.0,bfb21837224ccdd37cb09b15_tensorflow,1.0,6.0,29.296875,0.25,10694771.841809018,15218.0
173,24957.0,56477b709ba0c1c96076b473_xComputeWorker,1.0,10.0,19.55078125,0.5,49256225.50228889,311.0
174,24994.0,328aa2b4a46ef4ecea5d0e4a_tensorflow,1.0,6.0,29.296875,1.0,20967992.74128234,41.0
175,25094.0,3fc531cd74884188029a6519_worker,40.0,0.5,29.296875,1.0,1529561.4284552676,58.625
176,25419.0,bcce930a3ba1e1ef1b1016db_tensorflow,1.0,6.0,29.296875,1.0,19745872.729153626,23.0
177,25579.0,5f8c817008f3fdd82cd232a8_worker,1.0,6.0,29.296875,1.0,11553224.037666542,215.0
178,25613.0,47b00b259017a10616796833_xComputeWorker,1.0,10.0,19.55078125,0.5,25596425.242536534,340.0
179,25714.0,bf159499c4769dc11eb8d5b8_tensorflow,1.0,6.0,29.296875,0.25,20047561.464544058,52.0
180,25738.0,70fca3b418eae6e55e78fb32_xComputeWorker,1.0,10.0,19.55078125,0.5,41809445.66928047,544.0
181,25799.0,0e3e514abe3294daad901d86_worker,3.0,6.0,29.296875,0.05,11041838.808324045,13846.666666666664
182,25817.0,8d2872a1470437bc99f494bb_tensorflow,1.0,6.0,29.296875,1.0,10102700.911954524,25.0
183,26076.0,d06df390bc7f5df3b916e916_worker,40.0,0.5,29.296875,1.0,1121125.6050947004,62.225
